Question,Answer
"What is the purpose of the ""Issue a Good Standing Certificate for a Health Professional"" service?",This service allows medical staff from public and private sectors to apply for a certificate of good professional conduct.
What is the process for applying for a Good Standing Certificate?,"1. Log in to the MoHAP website or smart app using UAE PASS. 2. Submit the required documents based on the sector (public or private) and pay the applicable fee. 3. If the conditions are met, the certificate will be sent via email and can also be downloaded from the website or app."
Who is not eligible for a Good Standing Certificate?,"Trainees, visitors, individuals with only initial licenses, and those not licensed by the Ministry of Health and Prevention (MOHAP)."
What are the general requirements for obtaining a Good Standing Certificate?,"The applicant must be licensed by MOHAP for more than 3 months, must not have been convicted of a medical offense, and the certificate is valid for 6 months."
What are the specific document requirements for private sector medical staff?,"Pharmacists and assistant pharmacists need an experience letter certified by the Department of Medicine in MOHAP. Holders of manual licenses need to specify the purpose of the application (i.e., obtaining a good standing certificate)."
What are the specific document requirements for government sector medical staff?,They must have an evaluation certificate or be licensed by MOHAP.
What is the validity period of the Good Standing Certificate?,6 months from the date of issuance.
What are the fees for obtaining a Good Standing Certificate?,"AED 500 for nursing professionals, medical professionals, and doctors; AED 300 for pharmacists and assistant pharmacists."
What are the channels for accessing this service?,MOHAP Website and MOHAP Smart App.
What is the target audience for Good Standing Certificate service?,"Medical physicians, dentists, specialist and consultant doctors, technicians, nurses, midwives, alternative medicine practitioners, pharmacists, and assistant pharmacists."
What additional step is required for applicants working for private outsourcing companies contracting with the Emirates Health Services Corporation?,They must apply for a service card to obtain a certificate of good standing and professional conduct in the government sector.
"What is the purpose of the ""Appeal Against Medical Licensing Committee Decisions"" service?","This service enables owners of medical and pharmaceutical establishments, and their medical and technical teams, to appeal decisions made by the Medical Licensing Committee."
What is the process for appealing a decision?,1. Submit an appeal to the Office of the Minister of Health and Prevention. 2. The appeal is transferred to the Public Health Policy and Licensing Sector (Health Governance Section). 3. Relevant documents are submitted to the Grievance Committee. 4. A response letter is sent after the Grievance Committee reviews the appeal.
What is the time limit for lodging an appeal?,Appeals must be lodged within 15 days of receiving the decision from the Medical Licensing Committee.
What is the service completion duration for an appeal?,30 working days.
What is the fee for appealing a decision?,Free.
What channels are available for accessing Appeal Against Medical Licensing Committee Decisions service?,Service Centers.
Where are the Service Centers located?,"Customer Happiness Center, Ministry of Health and Prevention office in Dubai (Muhaisnah 2), and medical areas related to MOHAP in Sharjah and the northern emirates."
What are the operating hours of the Service Centers?,"Sunday to Thursday, 7:00 am to 3:30 pm (Dubai office); Sunday to Thursday, 7:30 am to 2:30 pm (Sharjah and northern emirates)."
Who is the target audience for Appeal Against Medical Licensing Committee Decisions?,"Companies and investors in the health, health products, and pharmaceutical sectors."
What documents are required for submitting an appeal?,"A letter of appeal addressed directly to the Minister of Health and Prevention (no other agent or person), a letter of grievance, the decision of the Medical Licensing Committee, the subject of the grievance (Medical Complaint or Inspection Report), and all related documents and evidence."
What are the fees for the Provide Controlled Drugs Prescription Book service?,Book Fees: AED 100
What is the service completion duration for the Provide Controlled Drugs Prescription Book service?,3 working days
What are the conditions and requirements for the Provide Controlled Drugs Prescription Book service?,The healthcare facility must hold a valid license.
What is the process for the Provide Controlled Drugs Prescription Book service?,"1. Login to the MoHAP website or smart app using the UAE PASS. <br> 2. Fill and submit the application form requesting the issuance of the controlled drugs book online. <br>3. The Drug Department reviews and verifies the application. <br>4. If approved, pay the associated fees online. <br>5. The controlled prescription book will be sent to you by courier."
What are the fees for the Issue a Health Facility License service?,License Application Fees: AED 100 <br>Initial Inspection Fees: Vary depending on the type of facility. <br>Verifying Site Plan Fees: Vary depending on the type of facility. <br>Re-verifying Geometric Site Plan Fees: Vary depending on the type of facility. <br>Final License Fees: Vary depending on the type of facility.
What is the service completion duration for the Issue a Health Facility License service?,Approval of the application: 1 working day <br>Final licensing: 2 working days <br>Engineering team approval: Initial inspection: 2 working days <br>Verification of the facility plan: 5 to 7 working days <br>Final inspection: 7 to 10 working days
What are the fees for the Licensing of a Visiting Doctor from the UAE service?,"Application fees: AED 100 <br>License for visiting physician from outside the UAE: AED 4,000"
What is the service completion duration for the Licensing of a Visiting Doctor from the UAE service?,5 working days
What are the conditions and requirements for the Licensing of a Visiting Doctor from the UAE service?,Visiting doctors may work in no more than two entities.
What are the fees for the Approve Narcotic Drugs for Internal Pharmacies at Private Hospitals service?,Application Fee AED100
What is the service completion duration for the Approve Narcotic Drugs service?,One hour
What are the conditions and requirements for the Approve Narcotic Drugs service?,The quantities of drugs expected to be used annually should be determined.
What are the fees for the Application to Change the Name of a Pharmaceutical Facility service?,"Application fee: AED 100 <br>Fee to change facility name: AED 1,000"
What is the service completion duration for the Application to Change the Name of a Pharmaceutical Facility service?,3 working days
What are the conditions and requirements for the Application to Change the Name of a Pharmaceutical Facility service?,The facility's license must be valid.
What are the fees for the Issue/Cancel Online Pharmacy Permit service?,Free
What is the service completion duration for the Issue/Cancel Online Pharmacy Permit service?,One working day
What are the conditions for the Issue/Cancel Online Pharmacy Permit service?,The classification of the establishment should be 'pharmacy'. The establishment license should be valid. The pharmacist-in-charge should have a valid license.
Is Issue/Cancel Online Pharmacy service available to all pharmacies?,The service is available only to pharmacies licensed by the Ministry of Health and Prevention in Sharjah and the Northern Emirates.
What is Mabrouk Ma Yak?,"An integrated eService for newborn Emiratis that helps obtain a birth certificate, adds the newborn's name to the family data, issues a passport and Emirates Identity card, provides an optional Thiqa health card, registers the newborn in the population register, and allows parents to apply for paternity/maternity leave and child allowance (federal government employees only)."
What are the prerequisites for Mabrouk Ma Yak?,"The father must apply within 3 months of the baby's birth, be a UAE national with his wife added to the family data, have a verified UAE Pass account, and the baby must be born in a participating hospital (see PDF). Required documents for the hospital file: valid Emirates IDs of both parents, family data, and a marriage certificate (for the first birth only)."
What are the steps for the Mabrouk Ma Yak service?,"Inform the hospital, receive confirmation SMS with online request link, log in to the Mabrouk Ma Yak portal, fill in baby's name and upload photo, optionally apply for leaves/allowance, choose delivery method (home or service center), pay fees online, and receive an SMS when ready. If collecting from the center, visit the General Directorate of Residency and Foreigners’ Affairs with original family data."
What are the fees for the Renewal of a License for a Healthcare Advertisement in a Medical or Commercial Directory service?,"Application: AED 100; License for healthcare advertisement: AED 1,000"
What is the processing time for the Renewal of a License for a Healthcare Advertisement in a Medical or Commercial Directory service?,1-3 working days
What are the channels for accessing the Renewal of a License for a Healthcare Advertisement in a Medical or Commercial Directory service?,"MOHAP Website, MOHAP Smart App, Customer Happiness Centers (for fee payment only)"
What are the requirements for the Renewal of a License for a Healthcare Advertisement in a Medical or Commercial Directory service?,Valid licences of service provider; Valid registration or classification certificates for any products or pharmaceuticals mentioned in the advertisement (if any); Additional documents may be requested depending on the format of the advertisement
What are the fees for the Changing the name of private health facilities service?,"Application fee: AED 100; Fee to change the name of a medical facility: AED 1,000"
What is the processing time for the Changing the name of private health facilities service?,2 working days
What are the requirements for the Changing the name of private health facilities service?,The facility must have been open and practicing its commercial activity with a valid license for longer than 6 months.
What are the required documents for Changing the name of private health facilities service?,Copy of the facility's license issued by MOHAP; Letter from the UAE citizen owner requesting the name change; Trade License issued by the Department of Economic Development
What are the fees for the Adding a New Specialty to Private Health Facilities service?,"Application fees: AED 100; Medical Centers, Diagnostic Centers: Additional Specialty fees: AED 6,000 each for up to 3 specialties, then AED 100 each; Rehabilitation Centers: Additional Specialty fees: AED 5,000 each for up to 3 specialties, then AED 100 each."
What is the processing time for the Adding a New Specialty to Private Health Facilities service?,2 working days
What are the requirements for the Adding a New Specialty to Private Health Facilities service?,The facility must have been open and commercially operating with a valid license for longer than 6 months.
What are the fees for Adding a New Specialty to Private Health Facilities service?,"Application fees: AED 100. Medical Centers/Diagnostic Centers: AED 6,000 for each of the first three specialties, then AED 100 for each subsequent specialty. Rehabilitation Centers: AED 5,000 for each of the first three specialties, then AED 100 for each subsequent specialty."
What are the required documents for Adding a New Specialty to Private Health Facilities service?,"A letter addressed 'To Whom It May Concern' from the owner requesting to add new specialty; List of doctors, technicians and nurses licensed under the facility."
What are the fees for the Renewal of a License to Practice as a Doctor service?,"Private sector: Application fees: AED 100, License renewal fees: AED 3,000. Semi-government: Application fees: AED 100. Government sector: Free."
What is the processing time for the Renewal of a License to Practice as a Doctor service?,Instant Renewal
What are the requirements for Renewal of a License to Practice as a Doctor service?,A medical report is required if the doctor is 60 years and above; Continuous Medical Education in the same licensing field.
